,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha,x0_beta,x0_exp_neg,x0_exp_pos,x0_lossave,xopt_alpha,xopt_beta,xopt_exp_neg,xopt_exp_pos,xopt_lossave,model
31,11,,63417149.0,406925.0,0.3299590458717136,2.214627225650458,0.6369608042594666,0.4616230377249677,1.0,inf,inf,inf,inf,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
32,15,,2128234.0,406925.0,0.6856481524856208,4.618058217624836,0.9175324806190432,0.12238426998919895,1.0,inf,inf,inf,inf,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
33,17,,12459101.0,406925.0,0.4339231425045855,2.1377511020379067,0.7816255962392278,0.7882381763519272,1.0,inf,inf,inf,inf,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
34,20,,36590580.0,406925.0,0.8441851413698779,2.8579233153327586,0.6185179557031493,0.5578456874177244,1.0,inf,inf,inf,inf,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
35,21,,81569905.0,406925.0,0.7217797201732101,1.3006875626861292,0.08348394034902226,0.2824079047000489,1.0,inf,inf,inf,inf,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
36,22,,29302368.0,406925.0,0.08917176795557588,0.7814802102043046,0.313383889806638,0.19874187180089425,1.0,inf,inf,inf,inf,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
37,26,,8563589.0,406925.0,0.830415590259145,2.252317413141541,0.8873636353122538,0.7339054900339541,1.0,inf,inf,inf,inf,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
38,27,,20937894.0,406925.0,0.4570786265376833,0.4842709045900381,0.08378827339510464,0.1558275550605275,1.0,inf,inf,inf,inf,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
39,29,,63861957.0,406925.0,0.4790049620926414,2.415400418110392,0.4178130297966314,0.15042314717292166,1.0,inf,inf,inf,inf,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
40,30,,81834866.0,406925.0,0.015906904396646347,0.7759906493529319,0.5731389819758768,0.678944856960115,1.0,inf,inf,inf,inf,,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
