,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha,x0_beta,x0_exp,xopt_alpha,xopt_beta,xopt_exp,model
24,5.0,104.61810157164464,48765138.0,100241.0,0.5885236440169416,1.2809246746139038,1.0,0.05,0.001837422642494628,,LearningParams_Fit_alpha-beta_Fix_exp_
25,4.0,104.6181015716448,31272512.0,100241.0,0.09535445707846844,0.7724703345284917,1.0,0.05,0.0018374223864446968,,LearningParams_Fit_alpha-beta_Fix_exp_
26,33.0,104.61810157164548,2900366.0,100241.0,0.4201034497394181,1.1971138909217591,1.0,0.05,0.001837421312611054,,LearningParams_Fit_alpha-beta_Fix_exp_
27,41.0,104.61810157164626,98570935.0,100241.0,0.37783054093238,1.200845884871922,1.0,0.05,0.001837420024546691,,LearningParams_Fit_alpha-beta_Fix_exp_
28,21.0,104.61810157164757,45071092.0,100241.0,0.3371286787261568,1.227677840644717,1.0,0.05,0.0018374180957769922,,LearningParams_Fit_alpha-beta_Fix_exp_
29,40.0,104.61810157164793,74871932.0,100241.0,0.1548742715894725,1.0393961414852062,1.0,0.05,0.0018374176316225464,,LearningParams_Fit_alpha-beta_Fix_exp_
30,22.0,104.61810157164793,38228230.0,100241.0,0.9239622250555259,1.5082630390705158,1.0,0.05,0.001837417687135695,,LearningParams_Fit_alpha-beta_Fix_exp_
31,27.0,104.61810157165772,1250238.0,100241.0,0.4822321276643314,1.6431293476390505,1.0,0.05,0.001837406429265079,,LearningParams_Fit_alpha-beta_Fix_exp_
32,6.0,104.61810157165834,57864476.0,100241.0,0.2500019067630931,1.4877226108626196,1.0,0.05,0.0018374058633908144,,LearningParams_Fit_alpha-beta_Fix_exp_
33,20.0,104.61810157166124,68443094.0,100241.0,0.3941258878159715,1.683417688330741,1.0,0.05,0.0018374032706167,,LearningParams_Fit_alpha-beta_Fix_exp_
34,42.0,104.61810157166876,57966992.0,100241.0,0.236062344527022,1.7007631774314762,1.0,0.05,0.0018373969994680453,,LearningParams_Fit_alpha-beta_Fix_exp_
35,43.0,104.61810157167454,2876924.0,100241.0,0.33936333081037795,1.9254477417837632,1.0,0.05,0.001837392751537464,,LearningParams_Fit_alpha-beta_Fix_exp_
36,38.0,104.61810157167878,81258632.0,100241.0,0.5286731477232428,2.169692061348969,1.0,0.05,0.0018373898234831391,,LearningParams_Fit_alpha-beta_Fix_exp_
37,31.0,104.6181015716802,40900005.0,100241.0,0.2345562266366644,1.9107295952827907,1.0,0.05,0.0018373888898786453,,LearningParams_Fit_alpha-beta_Fix_exp_
38,25.0,104.61810157168149,68666654.0,100241.0,0.12351624730833792,4.2133309051927945,1.0,0.05,0.0018373880574428679,,LearningParams_Fit_alpha-beta_Fix_exp_
39,0.0,,92942944.0,100241.0,0.6490569932747885,2.7724248732431622,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
40,8.0,,41422194.0,100241.0,0.4808082381930165,3.4294495931237914,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
41,11.0,,17594471.0,100241.0,0.4280838078746445,3.50154414858435,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
42,13.0,,46890130.0,100241.0,0.5977134229217171,2.518932810758697,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
43,15.0,,70328273.0,100241.0,0.9291377821948354,3.3963959058936206,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
44,23.0,,18376461.0,100241.0,0.8608603751827013,2.8974930857676813,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
45,26.0,,53121574.0,100241.0,0.6700462745211505,2.198952259335209,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
46,35.0,,50652189.0,100241.0,0.8672722464668251,4.311335674465782,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
47,37.0,,65563976.0,100241.0,0.9778426140901538,2.0015883924237188,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
48,46.0,,99933688.0,100241.0,0.7955285813310771,2.0348419431072617,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
49,49.0,,83576000.0,100241.0,0.8443070132438346,3.641305306398734,1.0,inf,inf,,LearningParams_Fit_alpha-beta_Fix_exp_
