,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha,x0_beta,x0_exp,x0_lossave,xopt_alpha,xopt_beta,xopt_exp,xopt_lossave,model
39,9,,42773875.0,409381.0,0.3215892240476891,6.003389732891023,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
40,10,,50588454.0,409381.0,0.9299807045301864,6.18018761995146,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
41,16,,88930149.0,409381.0,0.7347914487422352,2.5741585365431376,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
42,18,,45410338.0,409381.0,0.9521515493551156,3.206776235644348,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
43,20,,90311160.0,409381.0,0.6925623484354615,3.991346943100904,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
44,22,,1872695.0,409381.0,0.3645194989509143,4.815021691880679,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
45,39,,99416046.0,409381.0,0.7726373989717273,3.2377649261673813,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
46,41,,7708705.0,409381.0,0.7618778483134103,2.0487289078853483,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
47,42,,88613722.0,409381.0,0.8788366921937554,3.1128947482740688,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
48,45,,9976002.0,409381.0,0.5413384543291533,6.024775520447892,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
49,47,,83326392.0,409381.0,0.6563957741276121,4.494908780045576,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
0,32,103.13384895324111,14266129.0,400285.0,0.049276985600721634,1.8833150495305149,1.0,1.0,0.05,0.03853456677298925,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
1,16,103.1338489532412,15658179.0,400285.0,0.2544746468775947,0.5151297721621533,1.0,1.0,0.05,0.03853456780785297,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
2,38,103.13384895324123,88337345.0,400285.0,0.2135314491868961,1.0681523229674348,1.0,1.0,0.05,0.038534568494949684,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
3,7,103.13384895324127,96854747.0,400285.0,0.4109904900463805,2.79447002303818,1.0,1.0,0.05,0.03853456642350825,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
4,10,103.13384895324131,34516963.0,400285.0,0.38525158678232096,0.5655440247700665,1.0,1.0,0.05,0.03853456454817488,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
5,34,103.13384895324137,33928956.0,400285.0,0.64348133973302,1.750061375575228,1.0,1.0,0.05,0.03853456575824468,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
6,40,103.13384895324141,62637092.0,400285.0,0.4930300837624699,1.6432288872301557,1.0,1.0,0.05,0.03853456718026037,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
7,17,103.13384895324141,82024324.0,400285.0,0.7979187034315168,1.1651129612468731,1.0,1.0,0.05,0.03853456463560007,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
8,11,103.13384895324141,53250094.0,400285.0,0.501523837036338,0.7118993281076229,1.0,1.0,0.05,0.038534572846770934,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
9,46,103.13384895324155,81990180.0,400285.0,0.8133547832824103,1.6830417546143803,1.0,1.0,0.05,0.03853456387158905,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
10,18,103.1338489532417,76397679.0,400285.0,0.7330842005458286,1.121728445480835,1.0,1.0,0.05,0.038534561583512594,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
11,15,103.13384895324208,39076931.0,400285.0,0.3182092458568546,1.2230520455652372,1.0,1.0,0.05,0.03853457704052719,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
12,0,103.13384895324344,67518583.0,400285.0,0.4707340155432523,3.060154679622649,1.0,1.0,0.05,0.0385345830794957,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
13,24,103.13384895324364,23796021.0,400285.0,0.443431456874592,1.3167588738620613,1.0,1.0,0.05,0.03853458359020321,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
14,33,103.13384895324415,55073974.0,400285.0,0.34451670975333365,3.2431536812757087,1.0,1.0,0.05,0.038534584829551036,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
15,2,103.1338489532446,86224558.0,400285.0,0.5999482873821776,2.04476868729077,1.0,1.0,0.05,0.0385345863181332,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
16,30,103.13384895324906,8800926.0,400285.0,0.7686624559086718,1.4948209990503138,1.0,1.0,0.05,0.03853459559037087,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
17,19,103.13384895324907,70550044.0,400285.0,0.2800530121474152,0.17184661567822654,1.0,1.0,0.05,0.03853459538417328,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
18,29,103.13384895325224,78982259.0,400285.0,0.3473689178661373,3.2023318497257143,1.0,1.0,0.05,0.03853460042623348,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
19,44,103.13384895325231,82569258.0,400285.0,0.945710650195476,0.4791778406071239,1.0,1.0,0.05,0.038534600779550884,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
20,43,103.13384895325599,55107303.0,400285.0,0.16418111098937044,1.6576485038966704,1.0,1.0,0.05,0.03853460572495308,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
21,45,103.13384895325785,60689479.0,400285.0,0.6552336631849579,1.5105079435494688,1.0,1.0,0.05,0.038534607897820566,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
22,26,103.133848953264,65044618.0,400285.0,0.2871381698839228,0.6260507882714116,1.0,1.0,0.05,0.03853461464272735,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
23,47,103.1338489532653,85518093.0,400285.0,0.5221722044131448,0.7999992900258742,1.0,1.0,0.05,0.03853461578591684,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
24,36,103.13384895328993,18825017.0,400285.0,0.20092696273276733,1.8309092134997884,1.0,1.0,0.05,0.03853463567107125,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
25,20,103.13384895332564,29168583.0,400285.0,0.6384887041648043,1.5688054015952864,1.0,1.0,0.05,0.03853465706902101,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
26,27,103.13384895340296,42303017.0,400285.0,0.4201724664656568,2.2533399443224043,1.0,1.0,0.05,0.03853469101620413,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
27,9,103.13384895350208,94011020.0,400285.0,0.8718341708793624,0.3270916327329537,1.0,1.0,0.05,0.03853472407631445,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
28,49,103.13384895356705,15220107.0,400285.0,0.8870489152290605,0.9442439593603008,1.0,1.0,0.05,0.038534742334867166,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
29,4,103.13384895385464,56651076.0,400285.0,0.3308287197989531,0.915718637082207,1.0,1.0,0.05,0.038534330042132366,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
30,39,103.13384895385795,56667528.0,400285.0,0.7934244356297331,0.3764843629111117,1.0,1.0,0.05,0.03853480770421985,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
31,14,103.13384895398964,82407927.0,400285.0,0.3684761619968776,2.3129520104340724,1.0,1.0,0.05,0.03853483196766195,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
32,21,103.13384895444705,95762707.0,400285.0,0.9080123256121678,0.3230104972875523,1.0,1.0,0.05,0.03853490292692765,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
33,1,103.13384895495615,93422122.0,400285.0,0.04001842259466267,1.6426375903570036,1.0,1.0,0.05,0.03853496731186407,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
34,41,103.13384895557972,71886042.0,400285.0,0.3995170754955881,1.0007420760408459,1.0,1.0,0.05,0.03853410289866787,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
35,6,103.13384895632736,7396154.0,400285.0,0.1297925024470992,1.992237643340268,1.0,1.0,0.05,0.03853510349934818,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
36,5,103.13384895634752,6134270.0,400285.0,0.5274762349780364,2.7304458920840724,1.0,1.0,0.05,0.03853510524574586,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
37,35,103.1338489586326,63461917.0,400285.0,0.46948647831591905,0.8227211900387387,1.0,1.0,0.05,0.038535275606845915,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
38,28,103.1338489598251,38552963.0,400285.0,0.29097915269444835,4.422060093999141,1.0,1.0,0.05,0.03853534989975152,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
39,13,103.1338489622785,24822041.0,400285.0,0.07511328199686187,0.11760520999545343,1.0,1.0,0.05,0.038535483979112134,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
40,3,103.13384896388209,83967394.0,400285.0,0.5717762138141846,1.178284952033522,1.0,1.0,0.05,0.03853357520623101,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
41,12,103.13384897623979,67887691.0,400285.0,0.7666042160324219,1.2216889573167025,1.0,1.0,0.05,0.03853310818746169,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
42,48,103.13384898887291,24658391.0,400285.0,0.8920905925618804,1.2154619162646545,1.0,1.0,0.05,0.03853275083140212,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
43,42,103.13384899577551,80050290.0,400285.0,0.8403853243658973,1.2939865498963097,1.0,1.0,0.05,0.03853258255748375,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
44,8,,55284530.0,400285.0,0.7947641557459159,2.3603041957077204,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
45,22,,19291489.0,400285.0,0.9881774357664832,3.533129413107931,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
46,23,,57794729.0,400285.0,0.9816141923161666,8.201189980528719,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
47,25,,76968574.0,400285.0,0.8418513677851729,3.865378278790776,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
48,31,,41287771.0,400285.0,0.3710974846503579,4.322656109433897,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
