,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp,x0_lossave,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp,xopt_lossave,model
17,18,123.1209395896899,21786882.0,100009.0,0.5996742313372709,0.7063705910506056,0.6885259066661703,0.013952034549933424,5.121985074479556,0.05,2.0,0.01865298751159473,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
18,2,123.12093959382885,15306025.0,100009.0,0.5329868696624664,0.2661163495175572,2.973993581791842,0.283891767616408,3.596917873991566,0.05,2.0,0.01865261313291261,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
19,14,123.1209396039915,70152911.0,100009.0,0.6844492783929179,0.030597924240092063,1.5487756007627633,0.9903256946122666,4.103768656036039,0.05,2.0,0.01865188665386412,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
20,31,123.120939606558,76886301.0,100009.0,0.6282134317213527,0.1143005015990486,1.004160520410439,0.7904866328826985,1.5148555482223591,0.05,2.0,0.018651729611623143,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
21,47,123.12093961924508,44043742.0,100009.0,0.2253202685323753,0.6710774372660515,1.5500208183815527,0.5039179832976344,3.069161671622181,0.05,2.0,0.01865104681755684,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
22,12,123.12093964018685,37094529.0,100009.0,0.4547194952943301,0.6971108576514361,1.9531552014153772,0.5970119912695805,4.173352360989176,0.05,2.0,0.018650130042780773,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
23,1,123.12093964382395,42485470.0,100009.0,0.5811641457739426,0.362569320615609,1.3347098504745505,0.6732291906732983,2.9954464245447414,0.05,2.0,0.01864998832316029,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
24,4,123.12093965502736,52551475.0,100009.0,0.5123481048525981,0.2169521270500817,2.6285867158593232,0.6324959154470841,4.099558271705569,0.05,2.0,0.018649575537521088,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
25,40,123.12093965537993,26023461.0,100009.0,0.5581385077930867,0.5096017489255593,4.2264795360249625,0.1706716420063828,2.6601194431726816,0.05,2.0,0.01864956306448875,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
26,7,123.12093969423559,44594416.0,100009.0,0.6551758695276844,0.8650831385352376,1.779195002154551,0.7787452955715479,4.733989389633048,0.05,2.0,0.018648332883239426,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
27,10,123.1209398161657,39202517.0,100009.0,0.22884783383639934,0.3664763997040557,2.460450626704617,0.8409283569074312,2.7046003948501216,0.05,2.0,0.01864546438460703,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
28,45,123.12093999303094,44672532.0,100009.0,0.4351145396445029,0.8769565711101925,0.859084648574625,0.9060494030139252,1.9542169594084415,0.05,1.999971238528199,0.0186540180904312,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
29,8,123.12094000413728,19857080.0,100009.0,0.7573771875779471,0.6566716196250899,2.5334665463967987,0.2337215218699607,3.376395015364274,0.05,1.9999686606131728,0.01865358538548848,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
30,43,123.12094057300808,98641773.0,100009.0,0.6536983849514487,0.3313831492842758,0.4095471235221175,0.932309008418497,4.128074111735562,0.05,2.0,0.018635572256870882,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
31,48,123.12094083827013,75276640.0,100009.0,0.15369731243800194,0.015886274037105318,3.6576036693417113,0.8875658011125837,2.393261902561092,0.05,2.0,0.01867660461914987,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
32,19,123.12094098394311,30011409.0,100009.0,0.19212073481668665,0.07280645076803356,3.781660743541897,0.8210286936289571,5.549775164927543,0.05,2.0,0.01867782824451489,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
33,22,123.1209413900777,4486231.0,100009.0,0.2691063366106381,0.103636185158007,2.477045085366393,0.7784756580800463,6.252773658213933,0.05,2.0,0.018680938108767198,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
34,44,123.12094149166977,19102051.0,100009.0,0.9849294372864916,0.3856859494497599,1.9820721693606755,0.6930240867646362,4.313522452420952,0.05,2.0,0.018681659628792438,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
35,6,123.5012475256808,84710239.0,100009.0,0.7459670708828817,0.7964275803231146,0.6449057316624239,0.2688615574960261,0.639472630560951,2.0,0.05039732593999549,6.1969011103738785,0.05006915413873871,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
36,27,123.50124876640275,71326324.0,100009.0,0.4444535236090879,0.6370003896252612,0.2877853267907037,0.40921542892051505,0.10436580197738364,2.0,0.05032133954194338,6.206293606706224,0.050068013710749586,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
37,35,123.50125486698406,90632549.0,100009.0,0.336429133672575,0.5396722786236574,0.8763140123963697,0.31141657017080177,0.8830377384891699,2.0,0.050338004493618034,6.2039842733364265,0.0500551412422344,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
38,3,123.501260543627,53683814.0,100009.0,0.13275624585926873,0.34547501796362184,2.7657981270407452,0.3069030249539179,0.9507963169286752,2.0,0.05026871811236868,6.212855476203628,0.050044699768733006,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
39,11,124.07334533023041,90059362.0,100009.0,0.06050619017806441,0.4030001925584004,1.8084272498875216,0.4929620775634317,0.8552575190965357,2.0,0.05,0.0,0.05,0.686841846102838,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
40,0,124.07334533023041,66155784.0,100009.0,0.18887870592416253,0.5862065196480211,0.1250985561840254,0.34872477772297056,5.13385868963788,2.0,0.05,0.0,0.05,5.083370364979071,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
