,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp_neg,x0_exp_pos,x0_lossave,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp_neg,xopt_exp_pos,xopt_lossave,model
16,4,124.07334533023041,5850510.0,407672.0,0.11043570788018336,0.8777766360984155,1.01079718770612,0.9719315911463188,0.7857054721296793,6.2203699475333245,0.05,0.05,0.0,0.05,0.05,0.0,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
17,0,,17460775.0,407672.0,0.8498718861619422,0.3193316492494032,1.24436798068968,0.5513356560235293,0.7217500184318999,0.8245166922794471,inf,inf,inf,inf,inf,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
18,1,,91716782.0,407672.0,0.5076805829700615,0.5772967528887647,3.1882654083772612,0.9937741253085336,0.6878548788687725,9.776734952818463,inf,inf,inf,inf,inf,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
19,2,,51451088.0,407672.0,0.6781801434445662,0.6094816415155891,1.16481237947303,0.22163990308186912,0.2336971722010461,1.4466590087131754,inf,inf,inf,inf,inf,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
20,5,,87811356.0,407672.0,0.7865853533774929,0.3872852096282868,2.8937728308665265,0.8350723376391156,0.5960248402807331,5.970871188792717,inf,inf,inf,inf,inf,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
21,6,,25401412.0,407672.0,0.3198087745606156,0.8422054216460417,0.4234083114773705,0.7229166858727001,0.28567928750348703,1.5676160031577913,inf,inf,inf,inf,inf,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
22,7,,39945618.0,407672.0,0.4536962213226301,0.5022030207521281,0.4141327216625767,0.519188487171171,0.7923247803594062,2.7499063218945903,inf,inf,inf,inf,inf,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
23,9,,80110950.0,407672.0,0.8142447486430816,0.3423562921065817,1.1902563746953343,0.7050621757015303,0.6244176921172128,2.5817718909563103,inf,inf,inf,inf,inf,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
24,10,,65338551.0,407672.0,0.7722963179119195,0.8083651209158828,1.632502741530666,0.7949366922612432,0.3245661250844559,2.750982460324765,inf,inf,inf,inf,inf,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
25,11,,99988569.0,407672.0,0.202119540642506,0.24955187321776195,3.6517249219774968,0.7721499339516938,0.4347292002006563,3.671323634083429,inf,inf,inf,inf,inf,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
26,12,,33077558.0,407672.0,0.2498909400435497,0.3995058775257495,0.13202772287656228,0.481679585091108,0.875576904661897,0.19372999152108086,inf,inf,inf,inf,inf,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
27,13,,37832874.0,407672.0,0.4856028182863901,0.057864919095662826,2.741429467684214,0.5583671950337529,0.655180968213074,0.06847201112120471,inf,inf,inf,inf,inf,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
28,15,,46670650.0,407672.0,0.6031779762521541,0.14003653139709518,0.8449056776643337,0.2373202596601092,0.16896050491607115,0.5075334216356917,inf,inf,inf,inf,inf,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
29,16,,60060649.0,407672.0,0.13160523407359495,0.28926127972440746,3.625525075123255,0.8722783134390922,0.2956355330631668,5.001099093724468,inf,inf,inf,inf,inf,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
30,17,,91205326.0,407672.0,0.8135950079943668,0.30130291381918844,2.4469514361307967,0.6141567271211638,0.6824935220937856,0.6779185596273178,inf,inf,inf,inf,inf,inf,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_neg-exp_pos-lossave_Fix_
