,Unnamed: 0,fold,model_name,pred_acc,seed,sub_id,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp,xopt_lossave,model
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.4666666666666667,8097205,100105,0.05,2.0,0.0,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.5111111111111111,8097205,100105,0.4043122233945268,2.0,0.009169679505438944,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.7777777777777778,8097205,100105,0.2170853941135294,2.0,0.013058247593950292,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.37777777777777777,8097205,100105,0.652473881086203,2.0,0.0045136589091039426,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.3555555555555556,759128,311444,0.05,0.2605476294991527,0.02527155948065271,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.6666666666666666,759128,311444,0.05,0.295720902953565,0.0202944346037298,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.6444444444444445,759128,311444,0.05,1.0000064078708562,0.013089408148856537,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.3555555555555556,759128,311444,0.05,0.26490482409394883,0.020398150135205646,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.6222222222222222,1271766,407672,0.05,0.05290049240671822,0.18015979794197934,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.5111111111111111,1271766,407672,0.08229713539431509,0.05,0.4264829613850317,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.7111111111111111,1271766,407672,0.06827532957132497,0.05,0.4958119011888338,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.8666666666666667,1271766,407672,0.07068475440215466,0.05,0.4159345685479716,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.5333333333333333,9149251,100003,0.05,0.2640230766425196,0.009382152421196052,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.6222222222222222,9149251,100003,0.05,0.3617785160374111,0.0278838103442784,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.6222222222222222,9149251,100003,0.05,2.0,0.002412134197735943,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.6888888888888889,9149251,100003,0.2416552252628607,2.0,0.005058295738014494,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.5555555555555556,8856485,411477,0.5693324701303417,1.9293255290031488,0.0042275860636523405,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.37777777777777777,8856485,411477,0.7291809358711281,2.0,0.0032831929024511315,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.37777777777777777,8856485,411477,0.05,2.0,0.0,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.4222222222222222,8856485,411477,1.4860974161331189,1.6715761801439386,0.0023594287491975913,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.4666666666666667,5694227,400285,0.1268649484582815,0.4298170627772591,0.03731513557660274,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave,0.7555555555555555,5694227,400285,0.05,0.12658553557259286,0.029067195368774317,1.0,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta_Fix_exp-lossave_
