,Unnamed: 0,fold,model_name,pred_acc,seed,sub_id,xopt_alpha,xopt_beta,xopt_exp_neg,xopt_exp_pos,xopt_lossave,model
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4666666666666667,5160757,200213,0.15578839093862898,0.06199106364816141,0.626116655163975,0.9047735938911896,3.567124610503884,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.7111111111111111,5160757,200213,0.12876926412574954,0.03599093322090113,1.0723140184028073,1.5658198553794265,0.6572564168037787,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4,5160757,200213,0.05,4.232226494607359,0.5515305144443976,0.5113337306510518,0.092181384102814,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.5333333333333333,5160757,200213,0.05,0.0588284804306541,0.8384041443952491,1.2777416222245737,2.5018026037718357,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4666666666666667,9052815,200088,0.19264590945894214,1.592771674713204,0.3866250421869933,0.3785018291093894,0.29258233767443204,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4,9052815,200088,1.0801518287169407,2.352132237951666,0.4061858604965418,0.22897087389823154,0.02513026439175858,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.2888888888888889,9052815,200088,0.05,1.6607719019636875,0.5026047454754838,0.4512520588217071,1.1966495232338077,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.5777777777777777,9052815,200088,1.4082439781927123,0.06613531075713251,0.6956007306674551,0.9060857274788704,0.3169260058103561,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.2888888888888889,8974373,100207,0.05,1.160223379781525,0.4697961414779982,0.5049951142894236,1.033980864373302,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.6,8974373,100207,0.22521901423878096,1.8871627056747848,0.11175929665683768,0.07650539711094465,0.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.6444444444444445,8974373,100207,0.5085132087445886,0.7801680721559072,0.2493722746143689,0.22072242148965984,0.08377337283490817,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4888888888888889,8974373,100207,1.077479102012185,0.7501588142751721,0.19226963274859407,0.11426165899963453,0.17510029403327296,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.2888888888888889,4019212,100068,0.5752405777756499,0.3981368870936409,0.2788765771923467,0.12940792430725345,0.8207037108711961,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4,4019212,100068,0.05,6.251135423680091,0.27704763743962624,0.1626370918838,0.5141313023166569,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4666666666666667,4019212,100068,0.544544061416303,1.4055673197819487,0.3071681303867102,0.22380847281171212,0.4101134932260767,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.6,4019212,100068,0.6000699977109749,14.999882608016437,0.2968573930951165,0.2245582659671728,0.020560735944851558,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.5333333333333333,6526889,400742,0.05,2.51148926513973,0.18360789884915898,0.07133898253443231,0.10372773308958262,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.3111111111111111,6526889,400742,0.14626503451024625,4.173660891432895,0.283955501737088,0.05,0.034865777889860554,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.3555555555555556,6526889,400742,0.05455789012865003,1.2364403227293543,0.05,0.05898808120670718,1.2186152630787723,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.5111111111111111,6526889,400742,0.0578565106036969,1.9987727028717457,0.05,0.07566802737383534,1.0692940477549149,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
